id,msre_desc
110,jar Gerber Third Foods (6 oz)
111,jar Heinz Junior-3 (6 oz)
112,jar Earth's Best (4.5 oz)
113,"jar, Gerber (4 oz)"
114,jar Beech-Nut Stage I (4 oz)
115,jar Gerber First Foods (2.5 oz)
116,jar Heinz Beginner-1 (2.5 oz)
117,jar Beech-Nut Baby's First (2.5 oz)
118,jar Gerber Graduate (4.5 oz)
119,jar Heinz Strained-2 (4.25 oz)
120,jar Gerber
121,jar NFS
122,bottle Earth's Best (4.2 fl oz)
123,bottle Heinz Strained (4 fl oz)
124,bottle Gerber First Food (4 fl oz)
125,bottle Beech-Nut Stage I (4 fl oz)
126,bottle NFS
127,bottle Beech-Nut Stage 2 (4 fl oz)
128,bottle Gerber Second Foods (4 fl oz)
129,bottle (4 fl oz)
130,bottle Beech-Nut Stage 3 (4 fl oz)
131,packet (.75 oz)
132,cookie
133,cracker
134,pretzel
135,biscuit
136,rusk
137,"toast, Gerber Zwieback"
138,serving 3.5 oz serving
139,package 7 oz
140,jar Earth's Best
141,jar Beech nut
142,ml
143,scope
144,serving 100 ml
145,Serving 100 ml
146,serving (2 tbsp)
147,individual packet
148,tbsp (1/8 cup)
149,tbsp (1 NLEA serving)
150,teaspoon
151,"spray , about 1/3 second (1 NLEA serving)"
152,tablespoon (1 NLEA serving)
153,tbsp (1 serving)
154,serving (approximately 10 sprays)
155,breast
156,chicken
157,unit (yield from 1 lb ready-to-cook chicken)
158,"chicken, bone removed"
159,"cup, chopped or diced"
160,"chicken, bone and skin removed"
161,"chicken, skin only"
162,giblets
163,cup chopped or dice
164,heart
165,liver
166,"chicken, separable fat"
167,"back, bone removed"
168,"back, bone and skin removed"
169,"breast, bone removed (yield from 1 lb ready-to-cook chicken)"
170,"breast, bone removed"
171,"breast, bone and skin removed"
172,drumstick with skin
173,drumstick
174,"drumstick, bone removed"
175,drumstick with skin (yield from 1 lb ready-to-cook chicken)
176,drumstick without skin
177,drumstick  with skin
178,"drumstick, bone and skin removed"
179,"leg, with skin (Sum of drumstick+thigh+back)"
180,thigh with skin
181,back with skin
182,"leg, bone removed"
183,"leg, bone and skin removed (Sum of drumstick+thigh+back meat only)"
184,thigh bone and skin removed
185,drumstick bone and skin removed
186,back bone and skin removed
187,"leg, bone and skin removed"
188,leg (Sum of drumstick+thigh+back meat only)
189,drumstick bone and skin
190,thigh bone and skin
191,back bone and skin
192,"neck, bone removed"
193,"neck, bone and skin removed"
194,"thigh, bone removed"
195,thigh without skin
196,"thigh, bone and skin removed"
197,"wing, bone removed"
198,"wing, bone and skin removed (yield from 1 lb ready-to-cook chicken)"
199,"wing, bone and skin removed"
200,bird
201,capon
202,unit (yield from 1 lb ready-to cook capon)
203,"capon, bone removed"
204,unit (yield from 1 lb ready-to-cook duck)
205,duck
206,unit (yield from 1 lb ready-to-cook goose)
207,goose
208,unit (yield from 1 lb ready-to-cook guinea)
209,guinea
210,unit (yield from 1 lb ready-to-eat pheasant)
211,pheasant
212,quail
213,unit (yield from 1 lb ready-to cook quail)
214,unit (yield from 1 lb ready-to-cook squab)
215,squab
216,raw gizzard
217,gizzard cooked
218,raw liver
219,liver cooked
220,unit (yield from 1 lb ready-to-cook turkey)
221,"turkey, bone removed"
222,back
223,wing
224,"turkey, skin only"
225,can (5 oz)
226,"cup, drained"
227,can (5 oz) yields
228,"package (net weight, 5 oz)"
229,"box (net weight, 2.5 lb)"
230,stick (2.25 oz)
231,"patty, 4 oz"
232,"patty (4 oz, raw) (yield after cooking)"
233,"unit, yield from 1 lb raw"
234,bird whole
235,"leg, bone removed (yield after cooking)"
236,"cup chopped or diced, cooked"
237,patty
238,oz crumbled
239,thigh
240,serving (3 oz)
241,breast breast with skin and bone
242,serving (3oz)
243,patty (yield from 135.8 g raw meat)
244,serving ( 3 oz )
245,fan fillet
246,steak
247,flat fillet
248,full rump
249,full rump cooked ( yield from 695 g raw meat )
250,inside drum
251,inside drum cooked ( yield from 572 g raw meat )
252,outside drum
253,serving ( cooked from 4oz raw)
254,serving ( cooked from 4 oz raw )
255,serving (cooked from 4 oz raw)
256,serving ( cooked from 4 oz raw)
257,patty (cooked from 4 oz raw)
258,serving (cooked from 4 oz)
259,cup (4 fl oz)
260,can (10.75 oz)
261,"can (11 oz), undiluted"
262,can 11.5 oz
263,can (11.25 oz)
264,can (19.25 oz)
265,can 14.5 oz
266,container 32 oz
267,can 19 oz
268,can (10.7 oz)
269,can (19 oz)
270,can (10.5 oz)
271,can (20 oz)
272,can (11.2 oz)
273,can (11.5 oz)
274,can (18.75 oz)
275,cube
276,serving 1 tbsp
277,jar 10.5 oz
278,jar 12 oz
279,packet (6 fl oz)
280,can (14.5 oz)
281,carton (32 oz)
282,Tbsp
283,"can (10.75 oz), prepared"
284,"can (11 oz), prepared"
285,serving 1 cup
286,"can (10.5 oz), prepared"
287,"can (11.25 oz), prepared"
288,cup condensed
289,"can (11.5 oz), prepared"
290,cup 8 fl oz
291,cube (6 fl oz prepared)
292,package without flavor packet
293,serving 1/2 cup
294,can 10.7 oz (10.75 oz)
295,carton 32 oz
296,oz 1 pouch
297,can 10.7 oz
298,package (16 oz)
299,serving 1/3 cup
300,serving 1/4 cup 2 oz
301,can 10.5 oz
302,"slice (5-7/8"" x 3-1/2"" x 1/16"")"
303,"slice (4"" dia x 1/8"" thick)"
304,"slice (2-3/4"" dia x 1/16"")"
305,sausage
306,"slice, medium (4-1/2"" dia x 1/8"" thick) (1 oz)"
307,oz 1 serving
308,link cooked
309,"slice (2-1/2"" dia x 1/4"" thick)"
310,link
311,links
312,serving (1 serving)
313,"link (4"" long)"
314,"slice (1 oz) (4"" x 4"" x 3/32"" thick)"
315,hot dog
316,frankfurter
317,"slice (4-1/4"" x 4-1/4"" x 1/16"")"
318,grams 1 serving
319,g
320,serving 2 slices
321,slice oval
322,slice rectangle
323,slice NFS
324,cup wafer slices or shaved
325,slice (15 per 8 oz package)
326,"sausage (10"" long x 1-1/4"" dia)"
327,"link (raw dimensions: 4"" long x 7/8"" dia), cooked"
328,"patty, cooked (raw dimensions: 3-7/8"" dia x 1/4"" thick)"
329,slice round
330,package (4 oz)
331,"slice (3-1/8"" dia x 1/16"" thick)"
332,slices 1 serving
333,"link (4"" long x 1-1/8"" dia)"
334,"link, little (2"" long x 3/4"" dia)"
335,"link,  little (2"" long x 3/4"" dia)"
336,"sausage (7/8"" dia x 2"" long)"
337,"sausages (drained contents from can, net wt 4 oz)"
338,serving (1 slice)
339,serving (4 slices)
340,serving 3 slices
341,slice 12 oz pkg
342,slice 6 oz pkg
343,lb 16 oz
344,frank 1 NLEA serving
345,oz 1 NLEA serving
346,oz (1 serving)
347,serving 2.96 oz
348,serving .25 cup
349,link 3 oz
350,serving 5 pieces
351,serving 2.67 oz
352,oz serving 2.7 oz
353,serving 2.7 oz
354,serving 2.33 oz
355,serving 6 slices
356,serving 2 oz
357,serving 5 slices
358,serving (1 hot dog)
359,oz cooked
360,cup (1 NLEA serving for adults)
361,cup (1 serving for children under 4 years)
362,cup (1 NLEA serving)
363,packet (1 NLEA serving)
364,cup (1 serving)
365,"cup, cooked"
366,"cup, dry, yields"
367,"oz, dry, yields"
368,"packet, dry, yields"
369,"packet, prepared"
370,biscuits (1 NLEA serving)
371,serving (NLEA serving size = 0.75 cup)
372,cup (NLEA serving)
373,serving (3 T dry cereal plus 1 cup water)
374,tablespoon (1 serving)
375,package (1 NLEA serving)
376,fruit without refuse
377,"cup, quartered or chopped"
378,cup slices
379,"large (3-1/4"" dia)"
380,"medium (3"" dia)"
381,"small (2-3/4"" dia)"
382,"extra small (2-1/2"" dia)"
383,NLEA serving
384,ring
385,drink box (8.45 fl oz)
386,can (6 fl oz)
387,"cup, halves"
388,apricot
389,apricot half with liquid
390,"cup, whole, without pits"
391,"cup, whole"
392,half
393,"cup, cubes"
394,"cup, pureed"
395,"avocado, NS as to Florida or California"
396,NLEA Serving
397,"fruit, without skin and seed"
398,fruit without skin and seeds
399,"cup, mashed"
400,"extra small (less than 6"" long)"
401,"small (6"" to 6-7/8"" long)"
402,"medium (7"" to 7-7/8"" long)"
403,"large (8"" to 8-7/8"" long)"
404,"extra large (9"" or longer)"
405,"cup, unthawed"
406,package (18 oz)
407,berries
408,"cup, frozen"
409,package (20 oz)
410,"cup, thawed"
411,package (10 oz)
412,"fruit, small"
413,"large (4-1/2"" long)"
414,"medium (3-5/8"" long)"
415,"small (3-1/8"" long)"
416,"cup, pieces"
417,"cup, without pits"
418,"cup, with pits, yields"
419,cherry
420,"cup, pitted"
421,"slice (1/2"" thick, approx 8 slices per can)"
422,"date, pitted"
423,"large (2-1/2"" dia)"
424,"medium (2-1/4"" dia)"
425,"small (1-1/2"" dia)"
426,fig with liquid
427,fig
428,"cup sections, with juice"
429,"large (approx 4-1/2"" dia)"
430,"medium (approx 4"" dia)"
431,"small (approx 3-1/2"" dia)"
432,"fruit (3-3/4"" dia)"
433,fruit yields
434,grape
435,grapes
436,"fruit, without refuse"
437,"cup 1"" pieces"
438,fruit
439,"fruit (2"" dia)"
440,"cup, sections"
441,"fruit (2-1/8"" dia)"
442,"fruit (2-3/8"" dia)"
443,"wedge or slice (1/8 of one 2-1/8"" dia lemon)"
444,lemon yields
445,wedge yields
446,lime yields
447,"cup, cubed"
448,cup pieces
449,"cup, balls"
450,cantaloupe balls
451,"melon, large (about 6-1/2"" dia)"
452,"wedge, large (1/8 of large melon)"
453,"melon, medium (about 5"" dia)"
454,"wedge, medium (1/8 of medium melon)"
455,"melon, small (about 4-1/4"" dia)"
456,"wedge, small (1/8 of small melon)"
457,melon
458,"cup, diced (approx 20 pieces per cup)"
459,"melon (5-1/4"" dia)"
460,"melon (6"" - 7"" dia)"
461,"wedge (1/8 of 5-1/4"" dia melon)"
462,"wedge (1/8 of 6"" to 7"" dia melon)"
463,honeydew balls
464,"small (2-1/3"" dia)"
465,"medium (2-1/2"" dia)"
466,"large (2-3/4"" dia)"
467,super colossal
468,olive
469,"large (3-1/16"" dia)"
470,"small (2-3/8"" dia)"
471,"fruit (2-5/8"" dia)"
472,"cup sections, without membranes"
473,"fruit (2-7/8"" dia)"
474,"fruit (2-11/16"" dia)"
475,fruit without seeds
476,"small (2-1/4"" dia)"
477,"fruit, large"
478,"small (2-1/2"" dia)"
479,"medium (2-2/3"" dia)"
480,"extra large (3"" dia)"
481,"cup, halves or slices"
482,"half, with liquid"
483,"cup, slices"
484,halves
485,"fruit (2-1/2"" dia)"
486,"cup, chunks"
487,"slice (4-2/3"" dia x 3/4"" thick)"
488,"slice (3-1/2"" dia x 3/4"" thick)"
489,"slice, thin (3-1/2"" dia x 1/2"" thick)"
490,"cup, crushed, sliced, or chunks"
491,"slice or ring (3"" dia) with liquid"
492,plantain
493,plum with liquid
494,cup arils (seed/juice sacs)
495,"pomegranate (4"" dia)"
496,prunes with liquid
497,"prune, pitted"
498,"cup, packed"
499,miniature box (.5 oz)
500,small box (1.5 oz)
501,raisins
502,oz (60 raisins)
503,"pint as purchased, yields"
504,raspberries
505,stalk
506,"cup, without refuse"
507,"cup, pulp"
508,sapodilla
509,"fruit (7"" x 5-1/4"" dia)"
510,"extra large (1-5/8"" dia)"
511,"large (1-3/8"" dia)"
512,"medium (1-1/4"" dia)"
513,"small (1"" dia)"
514,berry
515,"fruit (3"" x 1"")"
516,"melon (15"" long x 7-1/2"" dia)"
517,wedge (approx 1/16 of melon)
518,watermelon balls
519,cherry (NLEA serving)
520,fruit without peel
521,"cup 1/2"" chunks"
522,"fruit 2-1/4"" high x 2-1/2"" dia"
523,"fruit 3-3/8"" high x 3"" diameter"
524,"cup, crushed"
525,spear
526,"slices (1/4"" thick)"
527,fruit without pits
528,"cup without pits, thawed"
529,"fruit without pits, thawed"
530,cup thawed
531,"fruit (4-2/3"" long x 2-3/4"" dia)"
532,roast
533,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)"
534,chop
535,"chop without refuse (Yield from 1 raw chop, with refuse, weighing 259g)"
536,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 209g)"
537,"chop without refuse (Yield from 1 raw chop, with refuse, weighing 201g)"
538,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 172g)"
539,"roast without refuse (Yield from 1 raw roast, with refuse, weighing 1817g)"
540,"roast without refuse (Yield from 1 cooked roast, with refuse, weighing 1515g)"
541,"roast without refuse (Yield from 1 raw roast, with refuse, weighing 1818g)"
542,"oz (Yield from 1 cooked roast, with refuse, weighing 1515g)"
543,roast without refuse
544,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
545,"steak without refuse (Yield from 1 raw steak, with refuse, weighing 380g)"
546,"steak without refuse (Yield from 1 cooked steak, with refuse, weighing 249g)"
547,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 300 g)"
548,"steak without refuse (Yield from 1 raw steak, with refuse, weighing 379g)"
549,ear
550,ear (yield after cooking)
551,"unit, cooked (yield from 1 lb raw meat)"
552,kidney
553,slice raw
554,package (12 oz)
555,slices (6 per 6-oz pkg.)
556,"piece, cooked (yield from 1 lb unheated product)"
557,"slice (6-1/4"" x 4"" x 1/16"") (1 oz)"
558,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)"
559,"rib without refuse (Yield from 1 raw rib, with refuse, weighing 196g)"
560,"rib without refuse (Yield from 1 cooked rib, with refuse, weighing 140g)"
561,rack
562,rib
563,"rib without refuse (yield from 1 cooked rib, with refuse, weighing 141g)"
564,"roast (Yield from 1 raw roast, with refuse, weighing 504g)"
565,chop boneless
566,chop boneless (yield from 189g raw meat)
567,slice cooked
568,roast rump
569,oz (3 oz)
570,roast shank
571,roast whole
572,oz spiral slice
573,lb spiral slice
574,oz whole
575,lb whole
576,oz shank
577,lb shank
578,oz rump
579,lb rump
580,oz grilled patties
581,ribs
582,leaf
583,"artichoke, medium"
584,"artichoke, large"
585,cup hearts
586,package (9 oz)
587,"package (9 oz), yields"
588,package (9 oz) yields
589,"spear, small (5"" long or less)"
590,"spear, medium (5-1/4"" to 7"" long)"
591,"spear, large (7-1/4"" to 8-1/2"")"
592,"spear, extra large (8-3/4"" to 10"" long)"
593,"spear tip (2"" long or less)"
594,"spears (1/2"" base)"
595,can (300 x 407)
596,"spear (about 5"" long)"
597,spears
598,package (10 oz) yields
599,"cup (1/2"" pieces)"
600,balsam-pear
601,"cup (1/2"" slices)"
602,shoot
603,"cup (1/8"" slices)"
604,can (303 x 406)
605,"cup 1/2"" pieces"
606,"beans (4"" long)"
607,can total can contents
608,beans
609,"beet (2"" dia)"
610,"beets (2"" dia, sphere)"
611,beet
612,"cup (1"" pieces)"
613,broadbean
614,cup chopped
615,bunch
616,"stalk, large (11""-12"" long)"
617,"stalk, medium (7-1/2"" - 8"" long)"
618,"stalk, small (5"" long)"
619,package (2 lb)
620,bunch cooked
621,sprout
622,root
623,petiole
624,stalks
625,"head, large (about 7"" dia)"
626,"leaf, large"
627,"head, medium (about 5-3/4"" dia)"
628,"leaf, medium"
629,"head, small (about 4-1/2"" dia)"
630,head
631,"head, large (about 5-1/2"" dia)"
632,"head, medium (about 5"" dia)"
633,"head, small (4"" dia)"
634,cup strips or slices
635,"large (7-1/4"" to 8-/1/2"" long)"
636,"small (5-1/2"" long)"
637,"strip large (3"" long)"
638,strip medium
639,carrot
640,"cup chopped (1/2"" pieces)"
641,floweret
642,"head large (6-7"" dia.)"
643,"head medium (5-6"" dia.)"
644,"head small (4"" dia.)"
645,flowerets
646,"strip (4"" long)"
647,"chayote (5-3/4"")"
648,tbsp chopped
649,tsp chopped
650,"stem (8-3/4"" long)"
651,package (3 lb)
652,"ear, large (7-3/4"" to 9"" long) yields"
653,"ear, medium (6-3/4"" to 7-1/2"" long) yields"
654,"ear, small (5-1/2"" to 6-1/2"" long)"
655,"ear small (5-1/2"" to 6-1/2"" long)"
656,"ear medium (6-3/4"" to 7-1/2"" long)"
657,"ear large (7-3/4"" to 9"" long)"
658,cup cut
659,baby ear
660,can (12 oz) yields
661,"can, 15 oz (303 x 406)"
662,"cup drained, rinsed"
663,"can drained, rinsed"
664,cup kernels
665,"ear, yields"
666,pod
667,sprig
668,"cucumber (8-1/4"")"
669,"cup, pared, chopped"
670,"large (8-1/4"" long)"
671,"small (6-3/8"" long)"
672,"stick (4"" long)"
673,"eggplant, peeled (yield from 1-1/4 lb)"
674,"eggplant, unpeeled (approx 1-1/4 lb)"
675,"cup (1"" cubes)"
676,clove
677,cloves
678,"cup slices (1"" dia)"
679,"slices (1"" dia)"
680,gourd
681,"cup (1"" slices)"
682,strip
683,piece whole
684,cup sliced
685,leek
686,"cup, shredded or chopped"
687,"head (5"" dia)"
688,leaf inner
689,leaf outer
690,"cup, chopped (1/2"" pieces, loosely packed)"
691,"head, large"
692,"head, medium (6"" dia)"
693,"head, small"
694,"leaf, small"
695,"slices (2-1/2"" dia)"
696,"root (9-1/2"" long)"
697,yam
698,"cup, pieces or slices"
699,mushroom
700,caps
701,cup diced
702,cup whole
703,mushrooms
704,"pods (3"" long)"
705,rings
706,"slice, large (1/4"" thick)"
707,"slice, medium (1/8"" thick)"
708,onion
709,"medium (4-1/8"" long)"
710,"small (3"" long)"
711,"rings, large (3-4"" dia)"
712,"rings, medium (2-3"" dia)"
713,"rings, small (1-2"" dia)"
714,"parsnip (9"" long)"
715,pea pods
716,pepper
717,"large (2-1/4 per lb, approx 3-3/4"" long, 3"" dia)"
718,"medium (approx 2-3/4"" long, 2-1/2"" dia)"
719,"ring (3"" dia, 1/4"" thick)"
720,strips
721,"cup, chopped or strips"
722,"tablespoon, chopped"
723,seeds
724,"Potato large (3"" to 4-1/4"" dia)"
725,"Potato medium (2-1/4"" to 3-1/4"" dia)"
726,"Potato small (1-3/4"" to 2-1/2"" dia)"
727,"potato large (3"" to 4-1/4"" dia)"
728,"Potato small (1-3/4"" to 2-1/4"" dia)"
729,"large (3"" to 4-1/4"" dia.)"
730,"medium (2+-1/4"" to 3-1/4"" dia.)"
731,"small (1-3/4"" to 2-1/4"" dia.)"
732,"potato medium (2-1/4"" to 3-1/4"" dia)"
733,"potato small (1-3/4"" to 2-1/4"" dia)"
734,"potato large (3"" to 4-1/4"" dia."
735,"potato medium (2-1/4"" to 3-1/4"" dia.)"
736,"potato small (1-3/4"" to 2-1/2"" dia.)"
737,"potato small (1-3/4"" to 2-1/2"" dia)"
738,skin
739,"potato (2-1/3"" x 4-3/4"")"
740,"potato (2-1/2"" dia, sphere)"
741,"medium (2-1/4"" to 3-1/4"" dia.)"
742,"small (1-3/4"" to 2-1/2"" dia.)"
743,potato
744,package (5.5 oz)
745,package (5.5 oz) yields
746,"package yield, 5.5 oz"
747,cup (unprepared)
748,cup prepared
749,"patty, oval (approx 3"" x 1-1/2"" x 1/2"")"
750,"package yield, 12 oz"
751,puffs
752,Crispy Crowns
753,puff
754,fries
755,flower
756,plant
757,squash
758,"large (1"" to 1-1/4"" dia)"
759,"medium (3/4"" to 1"" dia)"
760,"radish (7"" long)"
761,"cup, undrained"
762,sheets
763,cup flowers
764,sprouts
765,squash (4 inch dia)
766,package (4 lb)
767,"leaf (12-1/4"" long)"
768,"sweetpotato, 5"" long"
769,"medium (2"" dia, 5"" long, raw)"
770,can (404 x 307)
771,"leaf (11"" x 6-1/2"")"
772,slice or wedge
773,cup cherry tomatoes
774,"slice, thick/large (1/2"" thick)"
775,wedge (1/4 of medium tomato)
776,"slice, thin/small"
777,"cup, chopped or sliced"
778,Italian tomato
779,"large whole (3"" dia)"
780,"medium whole (2-3/5"" dia)"
781,"slice, medium (1/4"" thick)"
782,plum tomato
783,"small whole (2-2/5"" dia)"
784,can (6 oz)
785,can (29 oz) (401 x 411)
786,"frond (6-1/2"" long)"
787,"package, mashed (10 oz)"
788,pack (2-1/2 lb)
789,waterchestnuts
790,waxgourd
791,"pod (15-1/3"" long)"
792,cup (#6 scoop)
793,recipe yield
794,"piece (2-1/2"" x 2"" dia)"
795,"small 2-3/4 in. dia., 5/8 in. thick."
796,"medium 3-1/4 in. x 3-5/8 in., 5/8 in. thick."
797,potato large
798,potato medium
799,potato small
800,"potato (2-3/4"" dia by 4-3/4"" long)"
801,tomato
802,"corm, medium"
803,cup flowerets
804,"slice large (1/4"" thick)"
805,"slice medium (1/8"" thick)"
806,slice thin
807,"large (2-1/4 per pound, approx 3-3/4"" long, 3"" dia.)"
808,"medium (approx 2-3/4"" long, 2-1/2 dia.)"
809,"ring (3"" dia., 1/4"" thick)"
810,"cup, strips"
811,"medium (2-1/4"" to 2-1/4"" dia.)"
812,"ear, medium (6-3/4"" to 7-1/2"" long)"
813,"ear, large (7-3/4"" to 9"" long)"
814,"spear, small"
815,"large (4"" long)"
816,cup (about 23 slices)
817,cup pieces or slices
818,cup sliced or chips
819,"large Gherkin (3"" long)"
820,"Gherkin (2-3/4"" long)"
821,"midget Gherkin (2-1/8"" long)"
822,chip
823,"small Gherkin (2-1/2"" long)"
824,spear Gherkin
825,"medium (3-3/4"" long)"
826,"pimiento, whole"
827,packet (2/3 tbsp)
828,"cup, (about 23 slices)"
829,"pepper, large (3-3/4"" long, 3"" dia)"
830,bulb
831,pad
832,"head, large (6-7"" dia)"
833,"head, medium (5-6"" dia)"
834,"small (4"" long)"
835,"medium (4-1/2"" long)"
836,"large (5"" long)"
837,oz (8-14 seeds)
838,oz (42 medium seeds)
839,"cup, with hulls, edible yield"
840,"cup, slivered"
841,"cup, ground"
842,oz (23 whole kernels)
843,almond
844,cup whole kernels
845,oz (22 whole kernels)
846,"cup, firmly packed"
847,kernel
848,oz (6 kernels)
849,nutmeat
850,"cup, halves and whole"
851,"cup, halves and pieces"
852,oz (18 kernels)
853,"piece (2"" x 2"" x 1/2"")"
854,coconut yields
855,oz (21 whole kernels)
856,nuts
857,cup (78 kernels)
858,oz (14 kernels)
859,nut
860,"cup, whole or halves"
861,oz (10-12 kernels)
862,oz (19 halves)
863,oz (15 halves)
864,oz (15 kernels)
865,oz (167 kernels)
866,oz (49 kernels)
867,"cup, in shell, edible yield (7 nuts)"
868,cup shelled (50 halves)
869,cup pieces or chips
870,oz (14 halves)
871,oz (85 seeds)
872,kernels
873,package (1.875 oz) yields
874,oz (28 almonds)
875,"nuts, assorted"
876,steak (yield from 483 g raw meat)
877,steak (yield from 297 g raw meat)
878,steak (yield from 297g raw meat)
879,steak (Yield from 448 g raw meat)
880,"piece, cooked, excluding refuse"
881,"package (net weight, 12 oz)"
882,"package, cooked (yield from 12 oz raw product)"
883,"package, 2.5 oz"
884,steak (Yield from 418 g raw meat)
885,steak (yield from 418g raw meat)
886,roast (yield from 1601 g raw meat)
887,roast (yield from 1675 g raw meat)
888,roast (yield from 1528g raw meat)
889,steak (yield from 233 g raw meat)
890,steak (yield from 296 g raw meat)
891,steak (yield from 290 g raw meat)
892,roast (yield from 600 g raw meat)
893,steak (yield from 299 g raw meat)
894,roast (yield from 627 g raw meat)
895,steak (yield from 281 g raw meat)
896,roast (yield from 572 g raw meat)
897,roast (yield from 436 g raw meat)
898,roast (yield from 445 g raw meat)
899,roast (yield from 426 g raw meat)
900,roast (yield from 1405 g raw meat)
901,roast (yield from 1388 g raw meat)
902,steak (yield from 161 g raw meat)
903,steak (yield from 136 g raw meat)
904,steak (yield from 203 g raw meat)
905,steak (yield from 186 g raw meat)
906,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 223 g)"
907,steak (yield from 518 g raw meat)
908,steak (yield from 532 g raw meat)
909,steak (yield from 505 g raw meat)
910,oz ( 1serving )
911,portion (yield from 1/2 lb raw meat )
912,loaf ( yield from 1 lb raw meat )
913,steak (yield from raw steak weighing 550 g)
914,steak (yield from 320 g raw meat)
915,steak (yield from 1 raw steak weighing 321g)
916,roast (yield from 1 raw roast weighing 776g)
917,steak (yield from 341 g raw meat)
918,roast (yield from raw roast weighing 766g)
919,steak (yield from raw steak weighing 340g)
920,roast (yield from 1 raw roast weighing 786g)
921,roast (yield from 530 g raw meat)
922,"piece cooked, excluding refuse (yield from 1 lb raw meat with refuse)"
923,steak (yield from raw steak weighing 492 g)
924,steak (yield from raw steak weighing 491g)
925,steak (yield from 270 g raw meat)
926,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 242 g)"
927,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 154 g)"
928,steak (yield from 181 g raw meat)
929,steak (yield from 1 raw steak weighing149g)
930,steak (yield from 1 raw steak weighing 151g)
931,steak (yield from 1 raw steak weighing 624g)
932,oz ( 1 serving )
933,steak (yield from 475 g raw meat)
934,steak (yield from 467 g raw meat)
935,steak (yield from 388 g raw meat)
936,steak (yield from 294 g raw meat)
937,steak (yield from 295 g raw meat)
938,roast (yield from 690g raw meat)
939,roast (yield from 714 g raw meat)
940,roast (yield from 666 g raw meat)
941,steak (yield from 381 g raw meat)
942,steak (yield from 396 g raw meat)
943,steak (yield from 368 g meat)
944,can or bottle (12 fl oz)
945,"can (6.8 fl oz, 200 ml)"
946,cocktail (2 fl oz)
947,cocktail (4.5 fl oz)
948,packet prepared
949,portion (2 oz mix + 1.5 oz whiskey)
950,jigger 1.5 fl oz
951,jigger (1.5 fl oz)
952,glass (3.5 fl oz)
953,serving (5 fl oz)
954,serving 8 oz
955,can or bottle (16 fl oz)
956,serving (8 fl oz)
957,serving (12 fl oz)
958,serving (16.9 fl oz)
